id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon
87138V755378,DAMSGÅRDSVEIEN BOM,VEHICLE,Bergen,Vestland,K,KV4382 S1D1 m1203,60.382816,5.31545
80777V121763,KILE,VEHICLE,Vennesla,Agder,R,RV9 S4D1 m8971,58.410393,7.768353
82149B886007,Skeid sykkelbarometer,BICYCLE,Bodø,Nordland,R,RV80 S5D150 m509,67.276065,14.450017
85320V885198,NAPPSTRAUMEN TUNNEL,VEHICLE,Flakstad,Nordland,E,EV10 S6D1 m6508,68.14693,13.463928
00629V1828079,Viadukten under,VEHICLE,Kristiansund,Møre og Romsdal,F,FV539 S1D1 m853,63.12234,7.727616
82609B1883476,KANNIK (SYKKEL),BICYCLE,Stavanger,Rogaland,F,FV441 S1D1 m486,58.965367,5.730638
85303V886129,Svolvær Lufthavn,VEHICLE,Vågan,Nordland,F,FV7622 S1D1 m336,68.245917,14.665976
91397V249551,Tryggestad Ø.,VEHICLE,Stranda,Møre og Romsdal,F,FV60 S10D1 m4286,62.07322,6.802304
20808V2037771,BOGSRUD PÅRAMPE,VEHICLE,Eidsvoll,Viken,E,EV6 S25D1 m3298 KD2 m100,60.331108,11.192081
61523V971803,ST HANSFJELLET,VEHICLE,Fredrikstad,Viken,R,RV110 S3D1 m4024,59.219044,10.934753
73355V319671,AUSTRÅTTUNNELEN,VEHICLE,Sandnes,Rogaland,F,FV516 S1D1 m2472,58.847192,5.763873
84886V971545,MELLØSPARKEN,VEHICLE,Moss,Viken,F,FV119 S1D1 m1054,59.425071,10.67068
06464B1219083,Sonsveien sykkel,BICYCLE,Vestby,Viken,F,FV151 S1D110 m1177,59.518867,10.713308
59199V72809,MELHUS SØR,VEHICLE,Melhus,Trøndelag,E,EV6 S72D1 m1837,63.256138,10.282825
16124V72854,Rørvik Fv715,VEHICLE,Indre Fosen,Trøndelag,F,FV715 S4D1 m565,63.508735,10.133773
83313V384154,KVERNBERGTUNNELEN,VEHICLE,Sunnfjord,Vestland,F,FV609 S8D1 m3890,61.457522,5.829746
26461V971783,LØKKEBERG,VEHICLE,Halden,Viken,R,RV204 S1D1 m1863,59.121468,11.299112
69547V885213,Yttern v/Granneset,VEHICLE,Rana,Nordland,F,FV810 S1D1 m1841,66.337847,14.158625
11531V320190,V/KILDEN,VEHICLE,Stavanger,Rogaland,F,FV4552 S1D1 m251,58.94702,5.738736
37931V249569,Valldal,VEHICLE,Fjord,Møre og Romsdal,F,FV63 S8D1 m3778,62.297545,7.249402
16799V248977,Sula,VEHICLE,Sula,Møre og Romsdal,F,FV61 S1D1 m1501,62.421693,6.288192
32135V604101,General Ruges Vei V/bøler,VEHICLE,Oslo,Oslo,K,KV12212 S1D1 m1126,59.883897,10.84519
71535V319524,Lassa,VEHICLE,Stavanger,Rogaland,R,RV509 S3D30 m355,58.959725,5.69966
03364V971801,STRØMSHAUG,VEHICLE,Råde,Viken,R,RV110 S1D1 m2032,59.34871,10.871909
47447V72878,Ølholmslykkja,VEHICLE,Skaun,Trøndelag,F,FV800 S2D1 m4978,63.319865,10.141707
14366B2788116,Hagebyen Sykkel,BICYCLE,Harstad,Troms og Finnmark,F,FV7746 S1D110 m10,68.806016,16.531657
88980V805612,MEHAMMAR,VEHICLE,Stord,Vestland,E,EV39 S84D1 m1641,59.912683,5.488005
10229V1060056,KALLERUD SØR,VEHICLE,Gjøvik,Innlandet,R,RV4 S15D1 m782,60.784622,10.656083
06938V521177,Kjørbekk,VEHICLE,Skien,Vestfold og Telemark,R,RV36 S2D1 m3974,59.177563,9.624225
76361V1665570,SØRDALSTUNNEL (BS24),VEHICLE,Lødingen,Nordland,E,EV10 S21D1 m3794,68.473699,15.59985
04544V181344,NYMOEN,VEHICLE,Kongsberg,Viken,F,FV2774 S1D1 m412,59.6732,9.650693
04512V930297,VEDBOTN,VEHICLE,Nordkapp,Troms og Finnmark,E,EV69 S6D1 m13629,70.776829,25.631604
83119V319703,Sælebø,VEHICLE,Sokndal,Rogaland,F,FV44 S5D1 m7719,58.379925,6.193571
61723V2435179,STORSKOG,VEHICLE,Sør-Varanger,Troms og Finnmark,E,EV105 S2D1 m3510,69.666184,30.187641
94975V2411852,Rostad,VEHICLE,Melhus,Trøndelag,E,EV6 S70D1 m1365,63.089078,10.250236
25046V805611,STUDALEN FARTSTAVLE,VEHICLE,Stord,Vestland,E,EV39 S85D1 m6607,59.783154,5.481548
76967V2523547,FURNES VEGKRYSS S,VEHICLE,Ringsaker,Innlandet,F,FV1726 S1D1 m150,60.840667,11.049635
13999V625502,Finnmarksgata,VEHICLE,Oslo,Oslo,K,KV161 S1D1 m1083,59.916633,10.776114
48434V704718,EIDSBRUA,VEHICLE,Våler,Innlandet,F,FV210 S7D10 m341,60.651233,11.829945
32044V121780,ØVRE NØDING,VEHICLE,Lindesnes,Agder,F,FV455 S2D1 m3548,58.133115,7.540386
33419V930316,Vardø Sentrum,VEHICLE,Vardø,Troms og Finnmark,E,EV75 S1D1 m376,70.371465,31.10358
58345V1719147,EIDETTUNNELEN NORD,VEHICLE,Sarpsborg,Viken,E,EV6 S5D1 m4011,59.316036,11.000115
97086V1688134,HALSNØY BOMST.,VEHICLE,Kvinnherad,Vestland,F,FV500 S7D1 m7105,59.795366,5.732247
14103V704626,SKARNES BRU,VEHICLE,Sør-Odal,Innlandet,F,FV24 S1D1 m277,60.255791,11.680865
38203V2433139,BAGN SØR,VEHICLE,Sør-Aurdal,Innlandet,E,EV16 S38D1 m899,60.813305,9.565753
00333V249043,Tryggestad N.,VEHICLE,Stranda,Møre og Romsdal,F,FV655 S1D1 m33,62.07355,6.802355
12236V1693223,STORHAUGEN AUSTEVOLL,VEHICLE,Austevoll,Vestland,F,FV546 S3D40 m35,60.100465,5.223301
18073V249438,Frænavegen,VEHICLE,Molde,Møre og Romsdal,F,FV538 S1D1 m1182,62.742305,7.193051
02235V320630,Bryne øst,VEHICLE,Time,Rogaland,F,FV506 S1D1 m1713,58.7349,5.670377
20697V805009,NØSTET - PUD.BRU,VEHICLE,Bergen,Vestland,R,RV555 S1D1 m762 KD2 m30,60.386336,5.319369
92838V1175672,HUNDSTOKK,VEHICLE,Sandefjord,Vestfold og Telemark,F,FV256 S4D1 m215,59.154326,10.197747
31475V885919,SELFORS,VEHICLE,Rana,Nordland,E,EV6 S126D1 m2015,66.322372,14.243642
76956V249059,Remmetunnelen,VEHICLE,Ålesund,Møre og Romsdal,F,FV659 S1D1 m7261,62.55171,6.474153
00520V885778,Fv885 Hadselbrukrysset,VEHICLE,Hadsel,Nordland,F,FV7636 S1D1 m50,68.583699,15.004512
48559V2741763,FILEFJELLTUNNELEN,VEHICLE,Vang,Innlandet,E,EV16 S27D1 m6450,61.193677,8.186142
20188V805723,RAVNANGER FARTSTAVLE,VEHICLE,Askøy,Vestland,F,FV562 S2D1 m90,60.459961,5.150114
10924V2275488,Mastemyrveien N1,VEHICLE,Nordre Follo,Viken,F,FV152 S7D1 m6026,59.81622,10.789545
98981V443748,SKI ASSURTJERN,VEHICLE,Nordre Follo,Viken,F,FV1374 S1D1 m4885,59.783037,10.841125
83248B1213727,HANNEVIK (SYKKEL),BICYCLE,Kristiansand,Agder,E,EV39 S128D1 m551,58.138612,7.963887
30904V72218,Moholt rampe fra Moholt,VEHICLE,Trondheim,Trøndelag,E,EV6 S76D1 m3523 KD4 m75,63.408706,10.439898
90666V320576,Råse bru,VEHICLE,Lund,Rogaland,E,EV39 S110D1 m257,58.469049,6.521981
